Date,CO(Carbon Monoxide in mg / m3),CO
2/27/2016,0.81,0.707051053195287
2/28/2016,0.79,0.689593002499107
2/29/2016,1.01,0.881631560157087
3/1/2016,0.84,0.733238129239557
3/2/2016,0.56,0.488825419493038
3/3/2016,0.58,0.506283470189218
3/4/2016,0.62,0.541199571581578
3/5/2016,1.68,1.46647625847911
3/6/2016,0.77,0.672134951802928
3/7/2016,0.58,0.506283470189218
3/8/2016,1.41,1.23079257408069
3/9/2016,0.97,0.846715458764727
3/10/2016,1.51,1.31808282756159
3/11/2016,1.03,0.899089610853267
3/12/2016,0.86,0.750696179935737
3/13/2016,0.57,0.497554444841128
3/14/2016,0.79,0.689593002499107
3/15/2016,1.28,1.11731524455552
3/16/2016,1.19,1.03875401642271
3/17/2016,0.89,0.776883255980007
3/18/2016,0.96,0.837986433416637
3/19/2016,1.22,1.06494109246698
3/20/2016,1.2,1.0474830417708
3/21/2016,0.91,0.794341306676187
3/22/2016,0.98,0.855444484112817
3/23/2016,0.52,0.453909318100678
3/24/2016,0.92,0.803070332024277
3/25/2016,0.9,0.785612281328097
3/26/2016,2.11,1.84182434844698
3/27/2016,0.82,0.715780078543377
3/28/2016,0.86,0.750696179935737
3/29/2016,0.87,0.759425205283827
3/30/2016,0.86,0.750696179935737
3/31/2016,0.82,0.715780078543377
4/1/2016,0.87,0.759425205283827
4/2/2016,0.62,0.541199571581578
4/3/2016,1,0.872902534808997
4/4/2016,0.85,0.741967154587647
4/5/2016,1.11,0.968921813637987
4/6/2016,1.18,1.03002499107462
4/7/2016,1.19,1.03875401642271
4/8/2016,1.03,0.899089610853267
4/9/2016,1.13,0.986379864334166
4/10/2016,1.03,0.899089610853267
4/11/2016,1.86,1.62359871474473
4/12/2016,1.25,1.09112816851125
4/13/2016,0.81,0.707051053195287
4/14/2016,1.08,0.942734737593717
4/15/2016,1.07,0.934005712245627
4/16/2016,1.02,0.890360585505177
4/17/2016,0.78,0.680863977151018
4/18/2016,1.37,1.19587647268833
4/19/2016,1.87,1.63232774009282
4/20/2016,1.65,1.44028918243484
4/21/2016,0.64,0.558657622277758
4/22/2016,0.94,0.820528382720457
4/23/2016,0.98,0.855444484112817
4/24/2016,2.09,1.8243662977508
4/25/2016,0.71,0.619760799714388
4/26/2016,0.72,0.628489825062478
4/27/2016,1.53,1.33554087825777
4/28/2016,0.6,0.523741520885398
4/29/2016,0.67,0.584844698322028
4/30/2016,0.82,0.715780078543377
5/1/2016,0.49,0.427722242056408
5/2/2016,0.62,0.541199571581578
5/3/2016,0.6,0.523741520885398
5/4/2016,0.55,0.480096394144948
5/5/2016,0.66,0.576115672973938
5/6/2016,1.15,1.00383791503035
5/7/2016,0.69,0.602302749018208
5/8/2016,0.6,0.523741520885398
5/9/2016,0.6,0.523741520885398
5/10/2016,0.99,0.864173509460907
5/11/2016,0.88,0.768154230631917
5/12/2016,0.67,0.584844698322028
5/13/2016,0.72,0.628489825062478
5/14/2016,0.61,0.532470546233488
5/15/2016,0.46,0.401535166012139
5/16/2016,0.91,0.794341306676187
5/17/2016,0.61,0.532470546233488
5/18/2016,0.47,0.410264191360228
5/19/2016,0.56,0.488825419493038
5/20/2016,0.52,0.453909318100678
5/21/2016,0.42,0.366619064619779
5/22/2016,1.08,0.942734737593717
5/23/2016,0.78,0.680863977151018
5/24/2016,0.42,0.366619064619779
5/25/2016,0.43,0.375348089967869
5/26/2016,0.49,0.427722242056408
5/27/2016,0.43,0.375348089967869
5/28/2016,0.43,0.375348089967869
5/29/2016,0.49,0.427722242056408
5/30/2016,0.76,0.663405926454838
5/31/2016,0.65,0.567386647625848
6/1/2016,0.4,0.349161013923599
6/2/2016,0.43,0.375348089967869
6/3/2016,0.39,0.340431988575509
6/4/2016,0.41,0.357890039271689
6/5/2016,0.36,0.314244912531239
6/6/2016,0.33,0.288057836486969
6/7/2016,0.36,0.314244912531239
6/8/2016,0.34,0.296786861835059
6/9/2016,0.38,0.331702963227419
6/10/2016,0.37,0.322973937879329
6/11/2016,0.35,0.305515887183149
6/12/2016,0.34,0.296786861835059
6/13/2016,0.34,0.296786861835059
6/14/2016,0.41,0.357890039271689
6/15/2016,0.4,0.349161013923599
6/16/2016,0.34,0.296786861835059
6/17/2016,0.97,0.846715458764727
6/18/2016,3.8,3.31702963227419
6/19/2016,4.02,3.50906818993217
6/20/2016,2.12,1.85055337379507
6/21/2016,0.47,0.410264191360228
6/22/2016,0.33,0.288057836486969
6/23/2016,1.61,1.40537308104248
6/24/2016,5.43,4.73986076401285
6/25/2016,,0
6/26/2016,,0
6/27/2016,3.02,2.63616565512317
6/28/2016,3.63,3.16863620135666
6/29/2016,2.48,2.16479828632631
6/30/2016,3.55,3.09880399857194
7/1/2016,5.62,4.90571224562656
7/2/2016,6.28,5.4818279186005
7/3/2016,7.87,6.8697429489468
7/4/2016,4.04,3.52652624062835
7/5/2016,2.27,1.98148875401642
7/6/2016,0.42,0.366619064619779
7/7/2016,1.28,1.11731524455552
7/8/2016,0.57,0.497554444841128
7/9/2016,0.46,0.401535166012139
7/10/2016,0.38,0.331702963227419
7/11/2016,0.53,0.462638343448768
7/12/2016,1.51,1.31808282756159
7/13/2016,0.55,0.480096394144948
7/14/2016,0.61,0.532470546233488
7/15/2016,1.48,1.29189575151732
7/16/2016,0.69,0.602302749018208
7/17/2016,0.74,0.645947875758658
7/18/2016,2.63,2.29573366654766
7/19/2016,5.8,5.06283470189218
7/20/2016,0.46,0.401535166012139
7/21/2016,0.48,0.418993216708318
7/22/2016,0.75,0.654676901106748
7/23/2016,0.51,0.445180292752588
7/24/2016,5.23,4.56528025705105
7/25/2016,0.64,0.558657622277758
7/26/2016,1.01,0.881631560157087
7/27/2016,,0
7/28/2016,0.91,0.794341306676187
7/29/2016,0.53,0.462638343448768
7/30/2016,0.47,0.410264191360228
7/31/2016,0.83,0.724509103891467
8/1/2016,0.58,0.506283470189218
8/2/2016,0.69,0.602302749018208
8/3/2016,0.63,0.549928596929668
8/4/2016,0.45,0.392806140664049
8/5/2016,0.61,0.532470546233488
8/6/2016,0,0
8/7/2016,0,0
8/8/2016,0.01,0.00872902534808997
8/9/2016,0.05,0.0436451267404498
8/10/2016,0,0
8/11/2016,1.37,1.19587647268833
8/12/2016,45.96,40.1186004998215
8/13/2016,47.93,41.8382184933952
8/14/2016,3.59,3.1337200999643
8/15/2016,3.34,2.91549446626205
8/16/2016,0.56,0.488825419493038
8/17/2016,1.59,1.3879150303463
8/18/2016,0.52,0.453909318100678
8/19/2016,0.47,0.410264191360228
8/20/2016,0.49,0.427722242056408
8/21/2016,0.41,0.357890039271689
8/22/2016,0.22,0.192038557657979
8/23/2016,0.38,0.331702963227419
8/24/2016,0.41,0.357890039271689
8/25/2016,0.59,0.515012495537308
8/26/2016,0.39,0.340431988575509
8/27/2016,0.55,0.480096394144948
8/28/2016,0.31,0.270599785790789
8/29/2016,0.77,0.672134951802928
8/30/2016,0.38,0.331702963227419
8/31/2016,0.42,0.366619064619779
9/1/2016,0.48,0.418993216708318
9/2/2016,0.48,0.418993216708318
9/3/2016,0.51,0.445180292752588
9/4/2016,0.38,0.331702963227419
9/5/2016,0.3,0.261870760442699
9/6/2016,0.43,0.375348089967869
9/7/2016,0.53,0.462638343448768
9/8/2016,0.5,0.436451267404498
9/9/2016,0.4,0.349161013923599
9/10/2016,0.57,0.497554444841128
9/11/2016,0.36,0.314244912531239
9/12/2016,0.36,0.314244912531239
9/13/2016,0.41,0.357890039271689
9/14/2016,0.52,0.453909318100678
9/15/2016,0.97,0.846715458764727
9/16/2016,0.89,0.776883255980007
9/17/2016,0.8,0.698322027847197
9/18/2016,0.51,0.445180292752588
9/19/2016,0.25,0.218225633702249
9/20/2016,0.2,0.174580506961799
9/21/2016,0.38,0.331702963227419
9/22/2016,0.52,0.453909318100678
9/23/2016,0.46,0.401535166012139
9/24/2016,0.52,0.453909318100678
9/25/2016,0.43,0.375348089967869
9/26/2016,0.71,0.619760799714388
9/27/2016,0.64,0.558657622277758
9/28/2016,1.08,0.942734737593717
9/29/2016,1.13,0.986379864334166
9/30/2016,0.46,0.401535166012139
10/1/2016,0.51,0.445180292752588
10/2/2016,0.61,0.532470546233488
10/3/2016,0.51,0.445180292752588
10/4/2016,0.49,0.427722242056408
10/5/2016,1.45,1.26570867547305
10/6/2016,0.55,0.480096394144948
10/7/2016,0.73,0.637218850410568
10/8/2016,0.56,0.488825419493038
10/9/2016,1.11,0.968921813637987
10/10/2016,0.85,0.741967154587647
10/11/2016,0.73,0.637218850410568
10/12/2016,1.08,0.942734737593717
10/13/2016,1.97,1.71961799357372
10/14/2016,0.51,0.445180292752588
10/15/2016,0.2,0.174580506961799
10/16/2016,0,0
10/17/2016,0.52,0.453909318100678
10/18/2016,0.73,0.637218850410568
10/19/2016,0,0
10/20/2016,0.37,0.322973937879329
10/21/2016,1.12,0.977650838986076
10/22/2016,0.75,0.654676901106748
10/23/2016,1.2,1.0474830417708
10/24/2016,1.18,1.03002499107462
10/25/2016,1.64,1.43156015708675
10/26/2016,1.16,1.01256694037844
10/27/2016,0.83,0.724509103891467
10/28/2016,0.8,0.698322027847197
10/29/2016,3.1,2.70599785790789
10/30/2016,2.97,2.59252052838272
10/31/2016,0.55,0.480096394144948
11/1/2016,0.28,0.244412709746519
11/2/2016,0.42,0.366619064619779
11/3/2016,1.37,1.19587647268833
11/4/2016,0.85,0.741967154587647
11/5/2016,1.16,1.01256694037844
11/6/2016,0.7,0.611031774366298
11/7/2016,0.83,0.724509103891467
11/8/2016,0.83,0.724509103891467
11/9/2016,0.62,0.541199571581578
11/10/2016,0.76,0.663405926454838
11/11/2016,0.73,0.637218850410568
11/12/2016,0.72,0.628489825062478
11/13/2016,0.63,0.549928596929668
11/14/2016,0.37,0.322973937879329
11/15/2016,0.91,0.794341306676187
11/16/2016,1.9,1.65851481613709
11/17/2016,0.99,0.864173509460907
11/18/2016,0.57,0.497554444841128
11/19/2016,0.62,0.541199571581578
11/20/2016,0.46,0.401535166012139
11/21/2016,0.69,0.602302749018208
11/22/2016,3,2.61870760442699
11/23/2016,2.6,2.26954659050339
11/24/2016,1.05,0.916547661549447
11/25/2016,1.22,1.06494109246698
11/26/2016,0.89,0.776883255980007
11/27/2016,0.85,0.741967154587647
11/28/2016,0.67,0.584844698322028
11/29/2016,0.81,0.707051053195287
11/30/2016,1.88,1.64105676544091
12/1/2016,0.87,0.759425205283827
12/2/2016,0.72,0.628489825062478
12/3/2016,0.82,0.715780078543377
12/4/2016,1.66,1.44901820778293
12/5/2016,2.95,2.57506247768654
12/6/2016,1.7,1.48393430917529
12/7/2016,0.65,0.567386647625848
12/8/2016,0.69,0.602302749018208
12/9/2016,1.19,1.03875401642271
12/10/2016,0.46,0.401535166012139
12/11/2016,1.76,1.53630846126383
12/12/2016,1.46,1.27443770082114
12/13/2016,0.97,0.846715458764727
12/14/2016,0.54,0.471367368796858
12/15/2016,1.15,1.00383791503035
12/16/2016,1.39,1.21333452338451
12/17/2016,1.63,1.42283113173866
12/18/2016,0.79,0.689593002499107
12/19/2016,0.73,0.637218850410568
12/20/2016,0.71,0.619760799714388
12/21/2016,0.46,0.401535166012139
12/22/2016,0.28,0.244412709746519
12/23/2016,0.74,0.645947875758658
12/24/2016,0.62,0.541199571581578
12/25/2016,0.71,0.619760799714388
12/26/2016,0.84,0.733238129239557
12/27/2016,0.7,0.611031774366298
12/28/2016,0.2,0.174580506961799
12/29/2016,0.46,0.401535166012139
12/30/2016,0.57,0.497554444841128
12/31/2016,0.74,0.645947875758658
1/1/2017,0.77,0.672134951802928
1/2/2017,0.68,0.593573723670118
1/3/2017,0.74,0.645947875758658
1/4/2017,0.76,0.663405926454838
1/5/2017,0.63,0.549928596929668
1/6/2017,0.59,0.515012495537308
1/7/2017,0.79,0.689593002499107
